Date,Foreign_net,Trust_net,Dealer_net
2015-01-05,3685335.0,-752000.0,545000.0
2015-01-06,-37077081.0,-1212000.0,3307000.0
2015-01-07,1524649.0,-1341000.0,1386000.0
2015-01-08,7796623.0,86000.0,-624000.0
2015-01-09,-32026292.0,-1495000.0,-13000.0
2015-01-12,-10359626.0,-2747000.0,298000.0
2015-01-13,-8078546.0,-583000.0,559000.0
2015-01-14,-24793520.0,-413000.0,-350000.0
2015-01-15,77271.0,-495000.0,622000.0
2015-01-16,12799083.0,4403000.0,843916.0
2015-01-19,29095100.0,109000.0,-3354000.0
2015-01-20,10083215.0,432000.0,261000.0
2015-01-21,53877744.0,-141000.0,-1456000.0
2015-01-22,17467193.0,-99000.0,-55000.0
2015-01-23,53385433.0,674000.0,-412000.0
2015-01-26,22723917.0,213000.0,-257000.0
2015-01-27,32777586.0,-128000.0,-310000.0
2015-01-28,19306926.0,38000.0,-3000.0
2015-01-29,-1512754.0,-744791.0,95000.0
2015-01-30,-10169677.0,-413000.0,1356000.0
2015-02-02,4953523.0,-286000.0,350000.0
2015-02-03,5476151.0,175000.0,235000.0
2015-02-04,7472032.0,-62000.0,593936.0
2015-02-05,-5590308.0,-43000.0,304937.0
2015-02-06,-1277000.0,-4000.0,426000.0
2015-02-09,-2806925.0,-123000.0,299000.0
2015-02-10,1715930.0,-464000.0,315000.0
2015-02-11,25966705.0,142000.0,-921000.0
2015-02-12,11144179.0,-702000.0,-919000.0
2015-02-13,10709418.0,210000.0,-257000.0
2015-02-24,11348129.0,852000.0,-540000.0
2015-02-25,22167059.0,1115000.0,-1076042.0
2015-02-26,8412363.0,-763000.0,512000.0
2015-03-02,-7614497.0,732923.0,1275000.0
2015-03-03,852283.0,-500000.0,508269.0
2015-03-04,2764344.0,-207000.0,-277000.0
2015-03-05,2412825.0,-45000.0,-974042.0
2015-03-06,-7018457.0,-335000.0,2206000.0
2015-03-09,-38434019.0,239000.0,4126841.0
2015-03-10,-31922995.0,148000.0,2271000.0
2015-03-11,-10692633.0,651000.0,407000.0
2015-03-12,-3210241.0,1715900.0,-770000.0
2015-03-13,-5934230.0,541000.0,-533000.0
2015-03-16,-10693579.0,-129000.0,110000.0
2015-03-17,8139660.0,208000.0,-4257042.0
2015-03-18,22040377.0,-187000.0,-2896000.0
2015-03-19,3769365.0,255000.0,-478000.0
2015-03-20,141363.0,-751000.0,-325000.0
2015-03-23,6739506.0,-423000.0,-362000.0
2015-03-24,-3657505.0,-862000.0,-85000.0
2015-03-25,-6104845.0,-524000.0,93000.0
2015-03-26,-67850692.0,-1011000.0,5800000.0
2015-03-27,-68227466.0,-1296000.0,2558000.0
2015-03-30,-35125594.0,326000.0,154000.0
2015-03-31,-18339404.0,-81000.0,1408000.0
2015-04-01,-13460412.0,-99000.0,-161000.0
2015-04-02,3960077.0,51000.0,-1722000.0
2015-04-07,-5188864.0,-152000.0,-364000.0
2015-04-08,-11651640.0,-827000.0,698000.0
2015-04-09,-7049535.0,-698000.0,14000.0
2015-04-10,3756162.0,-560000.0,-133000.0
2015-04-13,-9382040.0,-72000.0,-82000.0
2015-04-14,-23354711.0,-448000.0,-8000.0
2015-04-15,-40331399.0,-176000.0,3284000.0
2015-04-16,11248706.0,-272000.0,979000.0
2015-04-17,-35732495.0,-2307000.0,-1794000.0
2015-04-20,-8871039.0,-434000.0,-382000.0
2015-04-21,-8372154.0,-296000.0,-258000.0
2015-04-22,624769.0,-161000.0,-279000.0
2015-04-23,15469933.0,518000.0,1288000.0
2015-04-24,88816926.0,-232000.0,-1957000.0
2015-04-27,25674798.0,-651000.0,555000.0
2015-04-28,13232865.0,-290000.0,241990.0
2015-04-29,-1665484.0,-339000.0,2187000.0
2015-04-30,-14489583.0,-100000.0,56000.0
2015-05-04,-2418138.0,54000.0,841010.0
2015-05-05,-5342696.0,18000.0,-562000.0
2015-05-06,-4789238.0,-433000.0,492000.0
2015-05-07,-1859009.0,197000.0,255000.0
2015-05-08,-192058.0,29000.0,13000.0
2015-05-11,4459001.0,-243000.0,-214000.0
2015-05-12,-1180170.0,57000.0,632000.0
2015-05-13,1659505.0,275000.0,1066000.0
2015-05-14,-4455333.0,100000.0,129000.0
2015-05-15,2083868.0,-245000.0,-1275000.0
2015-05-18,-940000.0,-553000.0,-289000.0
2015-05-19,-892972.0,-469000.0,-1193000.0
2015-05-20,164207.0,-523000.0,-613000.0
2015-05-21,-6607282.0,-638000.0,-840000.0
2015-05-22,-8668901.0,-632000.0,-136000.0
2015-05-25,306000.0,-519000.0,840000.0
2015-05-26,876591.0,0.0,-107006.0
2015-05-27,-11914299.0,-36000.0,398000.0
2015-05-28,1473529.0,-533000.0,-20000.0
2015-05-29,-6628113.0,-63000.0,1367000.0
2015-06-01,-17204800.0,-81000.0,-128000.0
2015-06-02,-5847032.0,-3335000.0,-1410994.0
2015-06-03,-1142009.0,-1284000.0,-2540000.0
2015-06-04,-22843600.0,-1162113.0,210000.0
2015-06-05,-13391031.0,-730000.0,-406000.0
2015-06-08,-28772642.0,-1174000.0,382000.0
2015-06-09,-8121491.0,-95000.0,-850000.0
2015-06-10,-14453230.0,40000.0,-30000.0
2015-06-11,-1555100.0,462000.0,-227000.0
2015-06-12,-9519538.0,-34000.0,-570342.0
2015-06-15,-9303000.0,-390000.0,88000.0
2015-06-16,-10674395.0,-212000.0,184000.0
2015-06-17,-6580782.0,-32000.0,1052000.0
2015-06-18,-11079934.0,-143000.0,1832000.0
2015-06-22,-8331351.0,-193000.0,1080000.0
2015-06-23,2084010.0,340000.0,-181000.0
2015-06-24,1355896.0,-80000.0,205000.0
2015-06-25,19630451.0,59000.0,-515704.0
2015-06-26,11716400.0,-23000.0,4465704.0
2015-06-29,-19192532.0,-202000.0,-2565000.0
2015-06-30,-67313.0,252000.0,-971000.0
2015-07-01,-5688169.0,167000.0,67000.0
